insurgency_group,rtg_ffund,rtg_teraff,rtg_ccodecow,rtg_media,rtg_international,rtg_outnegrep,rtg_educcaus,rtg_logpop,rtg_left,rtg_intnegrep,rtg_pgood,rtg_propertycount,rtg_politics,rtg_govtargcount,rtg_endedtype,rtg_nmbrtrr,rtg_intposrep,rtg_nkillter,rtg_age,rtg_tcode,rtg_cleavage,rtg_logarea,rtg_loggdp,rtg_govcaus,rtg_rel,rtg_civcaus,rtg_nwound,rtg_civcausreal,rtg_eductargcount,rtg_rebel,rtg_nkill,rtg_terpwing,rtg_parterr,rtg_gname,rtg_peaksize,rtg_nat,rtg_broadgoal,rtg_logmil,rtg_endedtype2,rtg_reputation,rtg_frec,rtg_eductargexist,rtg_civtargcount,forge_splinterUCDP,forge_ethnic,forge_fightday,forge_ethnicity,forge_ccode,forge_ideolcom,forge_ideolright,forge_preorglab,forge_cname,forge_ideolnat,forge_preorgrel,forge_goalindep,forge_preorgfmr,forge_preorggov,forge_goalother,forge_preorg,forge_conflict_id,forge_foundloc,forge_splinter,forge_foundday,forge_preorgreb,forge_goaldem,forge_NSAdyadid,forge_preorgmvt,forge_ideolanti,forge_ideolrel,forge_gacronym,forge_fightyear,forge_goalrep,forge_foundmo,forge_ideolnote,forge_goalrights,forge_ideolleft,forge_preorgyou,forge_actorid,forge_preorgoth,forge_ideology,forge_preorgpar,forge_preorgmil,forge_merger,forge_dyadid,forge_goalchange,forge_goalnote,forge_gname,forge_preorgno,forge_goalauto,forge_ideoloth,forge_preorgname,forge_fightmo,forge_preorgfor,forge_preorgref,forge_religious,forge_religion,forge_preorgeth,forge_foundyear,forge_goalnominal,baad_terrcntrl,baad_torg,baad_fdrob,baad_fdkidnap,baad_lead_hierarch,baad_fddrugtk,baad_fdextort,baad_hb_iso_cc,baad_fdstate,baad_left,baad_hbccode,baad_fdsmuggl,baad_torg_year,baad_age,baad_org,baad_size_rec,baad_hbiso,baad_reli,baad_hbase,baad_ethn,baad_socsvcs,baad_year,baad_ucdpbd,mas_maxedu,mas_totalpopmin,mas_ethnic,mas_terrcontrol,mas_side_b,mas_location,mas_preconflict_health,mas_yearmin,mas_maxhealth,mas_communist,mas_yearmax,mas_preconflict_edu,gsw_target,gsw_wbcode,gsw_repression,gsw_lccode,gsw_year,gsw_location,gsw_campaign,gsw_cyear,war_id,war_acr,war_dyadperiod,war_terrcontrol,war_side_b,war_l1democracy,war_l1totalpop_log,war_confid,war_communist,war_side_a,war_year,war_location,war_ethnonsec,war_dyadid,war_obsid
Hizballah,0.0,1.0,666.0,0.0,1.0,1.0,0.0,1.374009,0.0,1.0,1.0,13.0,1.0,8.0,0.0,4.0,2.0,0.0,1.0,Hizballah,3.0,9.9198,9.663403,299.0,1.0,2.0,138.0,1.75,0.0,1.0,301.0,1.0,0.0,Hizballah,3.0,0.0,0.0,5.32301,0.0,0.0,0.0,0.0,6.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",1.0,208.0,0.0,0.0,0.0,1.0,0.0,422.0,1.0,0.0,660.0,0.0,208_1998,16.0,Hizballah,2.0,LBN,1.0,Lebanon,0.0,1.0,1998.0,54.0,,,,,,,,,,,,,Israeli occupation of Southern Lebanon,LBN,3.0,660.0,1982.0,Lebanon,Hizballah,0.0,,,,,,,,,,,,,,,
Al-Fatah,0.0,1.0,666.0,1.0,1.0,0.0,0.0,1.3206344,0.0,1.0,1.0,9.0,1.0,1.0,0.0,2.0,3.0,0.0,20.0,Al-Fatah,2.0,9.9198,9.617659,0.0,0.0,8.0,43.0,11.0,0.0,1.0,8.0,1.0,1.0,Al-Fatah,4.0,1.0,0.0,2.8903718,0.0,1.0,0.0,0.0,10.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,17.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,666.0,0.0,17_1998,39.0,Al-Fatah,4.0,PSE,0.0,Palestinian Territories,1.0,0.0,1998.0,0.0,,14.762594,0.0,1.0,Fatah,Israel,0.0,1965.0,0.0,0.0,2003.0,0.0,,,,,,,,,ISR-1965,ISR,1.0,0.0,Fatah,1.0,14.731081,1370.1,0.0,Israel,1965.0,Israel,0.0,1370.1-1.1,EACD.2.2-199
Al-Aqsa Martyrs Brigade (AMB),0.0,0.0,666.0,0.0,0.0,0.0,0.0,1.7942486,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,Al-Aqsa Martyrs Brigade,1.0,9.9198,10.0524645,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,Al-Aqsa Martyrs Brigade,2.0,0.0,0.0,5.1474943,0.0,0.0,1.0,0.0,0.0,1.0,1.0,30.0,Palestinian,666.0,0.0,0.0,0.0,Israel,1.0,0.0,1.0,0.0,0.0,0.0,1,234.0,West Bank,1.0,,1.0,0.0,426.0,0.0,0.0,0.0,AMB,2000.0,0.0,9.0,,0.0,0.0,0.0,211.0,0.0,1.0,1.0,0.0,0.0,480.0,0.0,,Al-Aqsa Martyrs' Brigades,0.0,0.0,0.0,Fatah & Tanzim (Fatah's armed wing),10.0,0.0,0.0,0.0,0.0,0.0,2000.0,independent Palestinian state,0.0,12.0,0.0,0.0,1.0,0.0,0.0,376.0,0.0,0.0,666.0,0.0,12_2000,0.0,Al-Aqsa Martyrs Brigade,3.0,PSE,0.0,Palestinian Territories,1.0,0.0,2000.0,0.0,0.0,15.667038,0.0,0.0,AMB,Israel,0.0,2002.0,0.0,0.0,2003.0,0.0,,,,,,,,,ISR-2002,ISR,1.0,0.0,AMB,1.0,15.648307,1370.1,0.0,Israel,2002.0,Israel,0.0,1370.1-7,EACD.2.2-220
Islamic Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,333.0,"Qom, Iran",,,0.0,0.0,737.0,0.0,0.0,1.0,Harakat-i Islami-yi Afghanistan,1984.0,0.0,,Islamist,0.0,0.0,0.0,298.0,0.0,1.0,0.0,0.0,0.0,731.0,1.0,,Islamic Movement,1.0,0.0,0.0,,12.0,0.0,0.0,1.0,6.0,0.0,1978.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Islamic Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,2,333.0,Mazar-e-Sharif,0.0,,0.0,0.0,422.0,0.0,0.0,0.0,Junbish-i Milli-yi Islami,1993.0,0.0,,,0.0,1.0,0.0,302.0,0.0,1.0,0.0,0.0,1.0,734.0,1.0,,National Islamic Movement,0.0,0.0,0.0,"Several militias, including the Jozjani/Dostum Militia",3.0,0.0,0.0,0.0,0.0,0.0,1992.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Islamic Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,615.0,0.0,0.0,0.0,Algeria,0.0,1.0,0.0,0.0,0.0,1.0,10,386.0,Algiers,,18.0,0.0,0.0,1.0,0.0,0.0,1.0,AIS (FIS),1992.0,0.0,2.0,Islamist,0.0,0.0,0.0,537.0,0.0,1.0,0.0,0.0,0.0,828.0,1.0,establish caliphate,Armed Islamic Movement,0.0,0.0,0.0,Rabitat Dawa,12.0,0.0,0.0,1.0,5.0,0.0,1989.0,establishment of an Islamic state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Movement of Uzbekistan (IMU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,702.0,0.0,0.0,0.0,Tajikistan,1.0,0.0,0.0,0.0,0.0,1.0,2,395.0,"Kabul, Afghanistan",0.0,,0.0,0.0,809.0,0.0,0.0,1.0,IMU,2010.0,0.0,,Salafist,0.0,0.0,0.0,359.0,0.0,1.0,0.0,0.0,0.0,908.0,1.0,establish Turkic caliphate,Islamic Movement of Uzbekistan,0.0,0.0,0.0,Adolat,9.0,0.0,0.0,1.0,5.0,0.0,1998.0,"ouster of incumbent government, creation of pan-Turkic Islamic caliphate",0.0,231.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,700.0,0.0,231_1998,0.0,Islamic Movement of Uzbekistan (IMU),2.0,AFG,1.0,Afghanistan,0.0,0.0,1998.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Turkistan Islamic Movement (ETIM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,156.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,700.0,0.0,156_1998,8.0,Eastern Turkistan Islamic Movement (ETIM),3.0,AFG,1.0,Afghanistan,1.0,0.0,1998.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students Islamic Movement of India (SIMI),0.0,0.0,750.0,1.0,0.0,0.0,0.0,6.975414,0.0,0.0,1.0,2.0,1.0,2.0,0.0,16.0,3.0,0.0,21.0,Students Islamic Movement of India (SIMI),3.0,14.90515,7.4831104,0.0,1.0,1.0,12.0,10.5625,0.0,0.0,1.0,0.0,1.0,Students Islamic Movement of India (SIMI),2.0,0.0,1.0,7.141245,0.0,1.0,0.0,0.0,2.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 May Group,0.0,0.0,350.0,0.0,0.0,1.0,0.0,2.311965,1.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,19.0,1 May Group,1.0,11.78142,9.766566,1.0,0.0,1.0,0.0,0.25,0.0,0.0,2.0,0.0,0.0,1 May Group,,0.0,0.0,5.3033047,0.0,0.0,0.0,0.0,1.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 23 Democratic Alliance for Change - Ibrahim Bahanga Faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Touraeg,432.0,0.0,0.0,0.0,Mali,0.0,0.0,0.0,0.0,0.0,0.0,2,372.0,Kidal region,0.0,27.0,0.0,0.0,650.0,0.0,0.0,0.0,ATNMC,2007.0,0.0,7.0,,0.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,802.0,0.0,,May 23 Democratic Alliance for Change - Ibrahim Bahanga faction,0.0,1.0,0.0,Democratic Alliance for Change of May 23,1.0,0.0,0.0,0.0,0.0,0.0,2007.0,Autonomy for the Touareg regions of Mali and Niger,0.0,2301.0,0.0,0.0,1.0,0.0,0.0,466.0,0.0,0.0,432.0,0.0,2301_2006,0.0,May 23 Democratic Alliance for Change - Ibrahim Bahanga Faction,2.0,MLI,0.0,Mali,1.0,0.0,2006.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 15 Organization for the Liberation of Palestine,0.0,0.0,200.0,0.0,0.0,0.0,0.0,4.030748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,May 15 Organization for the Liberation of Palestine,2.0,12.395,9.8066435,0.0,0.0,1.0,2.0,6.8,0.0,0.0,1.0,0.0,0.0,May 15 Organization for the Liberation of Palestine,1.0,1.0,0.0,5.799093,0.0,0.0,0.0,0.0,1.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 19 Communist Order,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.4380794,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,May 19 Communist Order,1.0,16.03057,10.146807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,May 19 Communist Order,1.0,0.0,0.0,7.625595,0.0,0.0,0.0,0.0,2.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 January Organization for the Liberation of Tripoli,0.0,0.0,660.0,0.0,0.0,0.0,0.0,1.0657078,,0.0,0.0,23.0,0.0,22.0,1.0,8.0,0.0,0.0,1.0,16 January Organization for the Liberation of Tripoli,,9.23308,8.434861,1.0,,1.0,26.0,22.625,0.0,0.0,2.0,0.0,0.0,16 January Organization for the Liberation of Tripoli,,,,2.8903718,1.0,0.0,0.0,0.0,3.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 April Group,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,3.0,0.0,3.0,1.0,,0.0,0.0,1.0,2 April Group,1.0,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2 April Group,,0.0,0.0,,1.0,0.0,0.0,1.0,3.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Party of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,31.0,Pashtun,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1,333.0,Pakistan,1.0,,1.0,0.0,412.0,0.0,0.0,1.0,Hizb-i Islami-yi Afghanistan,1980.0,0.0,,Islamist,0.0,0.0,0.0,299.0,0.0,1.0,0.0,0.0,0.0,726.0,1.0,,Islamic Party of Afghanistan,0.0,0.0,0.0,Jam'iyyat-i Islami-yi Afghanistan,3.0,0.0,0.0,1.0,5.0,0.0,1976.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Union for the Freedom of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,Pashtun,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,2,333.0,"Peshawar, Pakistan",0.0,,0.0,0.0,735.0,0.0,0.0,1.0,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan,1981.0,0.0,12.0,Islamist/Wahhabi,0.0,0.0,0.0,297.0,0.0,1.0,0.0,0.0,1.0,730.0,1.0,,Islamic Union for the Freedom of Afghanistan,0.0,0.0,0.0,5 mujahideen groups,7.0,0.0,0.0,1.0,5.0,0.0,1980.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan National Liberation Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,Pashtun,700.0,0.0,0.0,0.0,Afghanistan,0.0,1.0,0.0,0.0,0.0,1.0,10,333.0,Pakistan,,1.0,0.0,1.0,733.0,0.0,0.0,1.0,Jabha-yi Nijat-i Milli-yi Afghanistan,1980.0,0.0,6.0,Islamist,0.0,0.0,0.0,295.0,0.0,1.0,0.0,0.0,0.0,728.0,1.0,creation of Islamic state,Afghanistan National Liberation Front,0.0,0.0,0.0,Naqshbandi Sufi fraternity,12.0,0.0,0.0,1.0,5.0,0.0,1978.0,"ouster of incumbent government, Islamic state, parliamentary democracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Society of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,5,333.0,Kabul,,,0.0,0.0,411.0,0.0,0.0,1.0,Jam'iyyat-i Islami-yi Afghanistan,1975.0,0.0,,Islamist,0.0,0.0,1.0,292.0,0.0,1.0,0.0,0.0,0.0,724.0,1.0,,Islamic Society of Afghanistan,0.0,0.0,0.0,Muslim Youth,12.0,0.0,0.0,1.0,5.0,0.0,1973.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Islamic Front of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,1.0,0.0,1.0,"9,14",333.0,,,,0.0,1.0,732.0,0.0,0.0,0.0,Mahaz-i Milli-yi Islami-yi Afghanistan,1980.0,0.0,,pro-democracy,0.0,0.0,0.0,296.0,1.0,1.0,0.0,0.0,0.0,729.0,1.0,reinstate former leader,National Islamic Front of Afghanistan,0.0,0.0,1.0,former regime military and other officials/supporters,12.0,0.0,0.0,0.0,0.0,0.0,1979.0,"ouster of incumbent government, parliamentary democracy, reinstate former leader (King Zahir Shah)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Party of Afghanistan - Khalis faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,31.0,Pashtun,700.0,0.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1,333.0,"Khugiani, Afghanistan",1.0,,1.0,0.0,760.0,0.0,0.0,1.0,Hizb-i Islami-yi Afghanistan - Khalis faction,1980.0,0.0,12.0,Islamist,0.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,727.0,1.0,,Islamic Party of Afghanistan - Khalis faction,0.0,0.0,0.0,Hizb-i Islami-yi Afghanistan,12.0,0.0,0.0,1.0,5.0,0.0,1979.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Democratic Republic of Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,,700.0,1.0,0.0,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,4,333.0,"Karte Char, Kabul",,1.0,0.0,0.0,727.0,1.0,0.0,0.0,PDPA,1978.0,0.0,1.0,Marxist,0.0,0.0,0.0,291.0,0.0,1.0,0.0,0.0,0.0,723.0,1.0,,People's Democratic Republic of Afghanistan,0.0,0.0,0.0,Awakening Youth (possibly other Marxist/communist movements as well),4.0,0.0,0.0,0.0,0.0,0.0,1965.0,"socialist revolution (nonviolent, at first)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghan government,AFG,3.0,700.0,1978.0,Afghanistan,Afghans,0.0,,,,,,,,,,,,,,,
The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",1.0,2448.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,700.0,0.0,2448_1998,6.0,The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA),4.0,AFG,1.0,Afghanistan,0.0,0.0,1998.0,4538.0,4.0,16.804453,0.0,1.0,UIFSA,Afghanistan,0.0,1996.0,4.0,0.0,2001.0,0.0,,,,,,,,,AFG-1996,AFG,1.0,1.0,UIFSA,0.0,16.77177,2370.2,0.0,"Afghanistan, Soviet Union",1996.0,Afghanistan,0.0,2370.2-2,EACD.2.2-973
Hezb-e Wahdat-e Islami-yi Afghanistan,0.0,1.0,700.0,0.0,0.0,1.0,0.0,2.7390368,,0.0,0.0,5.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,Hezb-e Wahdat-e Islami-yi Afghanistan,,13.38087,,0.0,,5.0,0.0,5.0,0.0,1.0,5.0,1.0,1.0,Hezb-e Wahdat-e Islami-yi Afghanistan,4.0,,,3.8066626,1.0,0.0,0.0,0.0,4.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
